,Electricity (kWh),Heating (kWh)
562,1038.654,32.899
563,1008.454,28.882
564,1576.846,10.733
565,2043.442,133.105
566,1151.386,102.514
567,1604.347,33.384
568,1655.964,70.727
569,1318.732,32.383
570,921.213,64.148
571,1162.3,13.089
572,1632.188,18.149
573,1188.149,81.922
574,918.229,8.397
575,910.475,45.752
576,2234.425,22.015
577,1016.741,12.373
578,1160.525,8.351
579,921.029,38.471
580,872.41,83.471
581,594.403,62.036
582,1141.168,56.734
583,965.964,25.487
584,714.728,47.938
585,1334.796,4.367
586,1768.66,25.824
587,1454.221,89.382
588,1584.646,68.053
589,1323.368,52.657
590,719.816,214.745
591,1879.308,21.34
592,1179.277,19.787
593,1882.717,6.169
594,1450.018,33.682
595,2059.305,75.233
596,2255.099,8.776
597,1089.032,150.628
598,797.001,10.636
599,1164.325,25.799
600,1163.644,20.793
601,801.371,17.139
602,1099.762,76.422
603,1066.951,19.228
604,641.034,37.069
605,749.0,42.296
606,806.737,43.075
607,798.154,20.31
608,1179.748,216.8
609,829.733,8.271
610,1147.061,8.684
611,1259.248,33.273
612,1205.82,4.819
613,1537.644,205.346
614,969.378,32.605
615,1571.802,47.619
616,1375.902,6.298
617,1015.234,11.385
618,2099.128,34.116
619,1473.357,64.276
620,905.682,90.454
621,1296.651,14.681
622,865.333,12.928
623,973.585,12.716
624,954.507,21.917
625,806.28,13.255
626,699.77,83.003
627,741.558,54.891
628,459.944,70.946
629,1122.196,34.009
630,1006.299,48.858
631,459.269,12.548
632,975.581,65.378
633,1335.157,36.97
634,1414.405,11.481
635,1534.465,99.832
636,1361.19,2.427
637,1874.916,129.232
638,924.263,15.937
639,2149.435,36.391
640,1161.039,12.22
641,1123.484,13.521
642,1209.998,55.939
643,1143.296,6.877
644,1815.814,17.207
645,1393.938,20.416
646,661.406,12.698
647,1293.654,19.276
648,1107.898,5.788
649,1849.674,19.955
650,1525.48,29.308
651,920.469,42.658
652,1183.301,17.863
653,1000.117,25.974
654,883.809,19.23
655,791.234,60.298
656,970.357,88.917
657,1180.435,13.005
658,1372.618,18.501
659,1075.03,38.832
660,705.749,93.338
661,1008.483,37.194
662,1511.835,37.959
663,1345.859,68.235
664,1139.709,25.426
665,1613.864,27.563
666,678.153,17.59
667,850.84,30.716
668,1186.135,21.847
669,986.764,606.917
670,1499.884,33.991
671,1137.36,44.701
672,1370.18,26.665
673,0.0,55.92
674,875.432,9.089
675,838.842,5.299
676,810.779,61.578
677,1041.732,69.962
678,358.627,33.047
679,1010.029,12.536
680,844.395,77.949
681,1113.94,17.404
682,1229.907,27.41
683,1648.103,6.945
684,1232.352,73.489
685,1280.371,65.688
686,1396.645,92.645
687,1905.732,10.122
688,1537.473,48.615
689,1756.512,11.722
690,1491.887,17.893
691,1374.293,23.792
692,1129.462,52.518
693,1090.914,33.128
694,971.218,3.891
695,841.883,15.891
696,1068.775,23.363
697,686.774,7.75
698,815.166,16.228
699,652.042,83.586
700,558.13,48.869
701,972.589,34.598
702,1144.106,16.212
703,863.623,43.416
704,811.076,55.065
705,853.838,31.778
706,1543.84,33.899
707,1248.496,33.719
708,1143.605,7.314
709,1980.567,16.685
710,2181.444,42.493
711,2125.32,32.162
712,1375.107,69.41
713,1367.859,29.467
714,1419.669,34.057
715,1185.724,10.183
716,1175.465,62.904
717,1267.453,7.264
718,941.208,41.447
719,865.203,10.525
720,579.535,86.718
721,798.899,20.247
722,901.555,22.567
723,1058.741,11.866
724,758.2,13.041
725,965.4,62.682
726,1103.63,65.946
727,832.98,87.98
728,452.026,12.236
729,1461.475,8.672
730,1371.496,9.505
731,1706.393,27.395
732,1633.945,40.388
733,1723.327,43.364
734,1672.574,130.925
735,1653.309,61.788
736,1524.841,38.984
737,1117.178,45.236
738,891.879,17.086
739,1240.534,40.86
740,1381.177,79.319
741,1214.094,10.119
742,1084.317,55.224
743,1133.015,20.27
744,846.427,33.283
745,769.939,13.616
746,1067.161,15.569
747,935.095,28.187
748,1074.595,109.386
749,543.36,43.184
750,793.956,22.968
751,683.83,19.3
752,956.371,11.718
753,1201.737,4.652
754,1227.436,78.485
755,1281.222,15.754
756,1135.468,68.037
757,1158.481,29.504
758,1056.399,48.421
759,1263.58,104.61
760,1970.069,35.619
761,1701.276,26.215
762,1050.159,71.46
763,2013.647,29.323
764,1099.531,20.947
765,1017.171,15.752
766,1041.936,36.986
767,924.394,8.518
768,1214.356,53.393
769,795.751,8.246
770,1304.568,87.838
771,991.345,41.016
772,854.888,37.022
773,1190.99,72.029
774,1002.679,200.558
775,792.445,126.822
776,957.7,43.915
777,756.078,5.659
778,1055.161,58.036
779,1309.589,142.983
780,1040.224,46.789
781,2100.541,28.41
782,1367.388,14.293
783,1853.743,32.83
784,1778.917,19.234
785,1972.753,32.982
786,1247.552,9.107
787,1527.36,17.978
788,1224.828,46.899
789,1446.511,15.755
790,659.736,47.485
791,1183.742,15.138
792,1245.081,173.387
793,804.093,32.745
794,791.425,20.104
795,669.742,13.964
796,606.877,116.313
797,991.491,303.22
798,716.376,85.998
799,539.803,67.944
800,1039.818,21.062
801,1372.864,90.463
802,890.439,16.089
803,1508.001,230.556
804,1160.574,76.227
805,1832.514,64.696
806,1436.814,24.954
807,1249.845,29.317
808,1710.783,66.734
809,1473.97,6.917
810,1436.226,19.516
811,1726.219,96.236
812,1428.301,19.389
813,1157.696,52.354
814,908.968,8.676
815,1103.603,23.036
816,1169.726,26.595
817,927.863,13.226
818,954.862,55.629
819,777.047,8.225
820,1174.77,91.517
821,1254.132,95.54
822,622.543,407.012
823,765.108,28.801
824,1004.822,54.109
825,1514.622,54.269
826,1408.818,24.283
827,1510.365,29.47
828,896.468,23.259
829,2222.711,132.113
830,990.203,70.358
831,1699.698,15.03
832,1554.626,19.824
833,1446.843,8.98
834,1404.125,68.963
835,1622.327,25.534
836,1090.594,23.126
837,1153.443,28.758
838,1052.356,7.082
839,676.382,23.312
840,479.893,20.055
841,847.186,20.997
842,874.511,34.59
843,867.621,10.19
844,815.869,141.135
845,792.254,122.107
846,530.815,125.134
847,465.811,89.243
848,1154.149,47.757
849,1430.437,31.154
850,1260.024,7.948
851,1337.214,42.623
852,1137.437,78.363
853,1388.269,88.856
854,1411.136,51.413
855,1905.158,28.802
856,1692.067,67.172
857,1361.626,32.945
858,705.024,54.107
859,1524.307,45.472
860,1163.133,27.469
861,871.814,92.912
862,875.796,54.103
863,1561.311,25.58
864,944.764,22.127
865,711.839,86.529
866,1087.526,19.77
867,673.975,11.412
868,963.295,33.361
869,769.898,216.143
870,949.936,34.876
871,1160.033,41.294
872,1226.06,115.981
873,1002.647,23.423
874,855.642,7.353
875,1548.194,11.66
876,1240.497,60.432
877,1758.891,42.256
878,1251.082,65.157
879,1967.638,148.976
880,1224.927,41.961
881,1822.616,114.827
882,1276.358,25.078
883,1677.766,17.794
884,1564.476,32.054
885,1010.155,24.207
886,1260.146,27.423
887,1208.659,44.092
888,785.023,12.755
889,892.831,94.535
890,1281.458,51.538
891,516.902,76.96
892,528.709,44.215
893,712.142,33.312
894,748.435,37.267
895,451.408,28.454
896,1107.219,43.796
897,808.494,49.803
898,1456.985,14.199
899,1543.066,12.798
900,1072.91,56.154
901,1840.253,27.853
902,1161.603,23.381
903,1434.295,11.698
904,1444.984,36.556
905,1416.99,18.72
906,1357.073,13.04
907,1185.73,6.396
908,892.673,50.487
909,1035.876,33.936
910,819.114,20.798
911,953.479,18.759
912,1372.251,42.988
913,353.886,11.465
914,676.47,13.545
915,698.536,35.58
916,595.386,30.845
917,1169.978,74.858
918,902.384,23.661
919,941.857,105.794
920,638.986,87.377
921,1096.188,94.506
922,1602.845,14.764
923,1351.492,146.414
924,1252.319,157.109
925,1166.531,7.868
926,1443.17,80.184
927,1820.936,79.039
928,1528.308,30.693
929,1870.198,9.86
930,1550.925,28.359
931,941.749,96.653
932,959.966,63.919
933,1202.236,7.201
934,939.972,40.247
935,1126.973,50.347
936,1075.909,14.668
937,1770.264,4.043
938,913.641,9.435
939,806.493,10.61
940,427.509,67.906
941,836.229,188.693
942,1013.768,91.181
943,820.96,199.598
944,801.828,55.444
945,735.7,4.89
946,1467.426,128.275
947,1430.757,14.712
948,1746.655,52.65
949,1511.352,93.2
950,791.674,49.143
951,1986.308,123.761
952,1501.583,7.259
953,2050.504,81.688
954,1375.076,26.993
955,1068.949,58.298
956,1275.882,42.326
957,1008.946,12.698
958,1201.302,57.148
959,830.616,37.122
960,557.866,18.943
961,886.286,38.939
962,904.234,38.604
963,911.64,31.335
964,670.415,47.831
965,1037.89,36.598
966,650.049,53.194
967,980.164,19.256
968,1257.34,48.982
969,1250.207,22.474
970,1018.363,8.94
971,1311.774,10.0
972,1344.588,24.831
973,1609.293,43.878
974,868.64,14.369
975,1958.75,133.217
976,1764.066,23.141
977,1180.004,86.846
978,2404.358,34.61
979,1364.316,10.464
980,774.756,7.412
981,1684.674,64.5
982,867.684,45.953
983,933.557,21.663
984,1151.383,31.867
985,1251.09,30.425
986,862.647,18.105
987,438.752,99.209
988,921.324,50.974
989,791.323,113.859
990,833.522,35.706
991,933.506,26.399
992,844.509,32.397
993,843.106,83.0
